training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
3.0500698,-20.500698,2.0500698,0.11457048,7.046108,0.9999999,-7.046108,1.0,0.9990225,0.048828125,0.00646173,-8.743053,-8.746127,-5.5996113,0.9652217,0.013874599,3.6702977e-06,0.0074134762,-0.014965907,0.46354184,3.0518098,-20.518097,2.0518098,0.11622745,6.9135785,0.9999999,-6.9135785,1.0,0.99902153,0.040039062,0.0064678993,-8.843347,-8.846572,-5.543745,0.6762718,0.011138804,3.6506683e-06,0.2195297456741333,1097.6487410068512,5000
3.0392368,-20.3991,2.03991,0.10489437,6.760707,0.9993267,-6.756156,1.0,0.999032,0.087890625,0.005935772,-9.007875,-9.0117855,-5.0089374,2.75715,0.036864646,1.3821012e-05,0.007361806,-0.0075894822,0.40700725,3.0371838,-20.37184,2.037184,0.102298215,6.8879833,0.9999999,-6.8879833,1.0,0.99902534,0.09082031,0.0060930476,-9.035565,-9.0393505,-5.1621494,1.6485418,0.02341044,5.6402896e-06,0.002354209566116333,1109.4197947978973,10000
3.0304644,-20.334627,2.0334628,0.09875409,6.6581745,0.99700165,-6.638212,1.0,0.9990301,0.15722656,0.005511647,-9.30909,-9.313636,-4.6580706,7.812028,0.07729,6.3301886e-06,0.0066109393,-0.00716296,0.34214106,3.0336637,-20.337132,2.0337133,0.09899278,6.9693356,0.9999504,-6.968991,1.0,0.9990225,0.111328125,0.0058914023,-9.312744,-9.317007,-4.9529843,4.0847335,0.043781787,2.6801865e-06,0.0023661366939544677,1121.25048494339,15000
3.0197358,-20.274057,2.027406,0.09298572,6.7247124,0.9923298,-6.673133,1.0,0.99904346,0.18554688,0.005349951,-9.501047,-9.505981,-4.4532475,19.21153,0.15585308,2.855657e-06,0.0071691014,-0.009557815,0.35704136,3.0282984,-20.290672,2.029067,0.09456792,6.8031707,0.9992312,-6.797941,1.0,0.99900913,0.119140625,0.005904712,-9.393905,-9.39828,-4.9187393,4.694526,0.06051986,2.8290262e-07,0.002364593315124512,1133.073457956314,20000
3.023797,-20.258863,2.0258863,0.0915385,6.6302423,0.99791074,-6.616391,1.0,0.9990349,0.18945312,0.0053317044,-9.582268,-9.587314,-4.419974,10.329407,0.119367726,3.2633377e-06,0.009416694,-0.009640265,0.39030278,3.0276792,-20.284472,2.0284472,0.09397743,6.965711,0.9992321,-6.960363,1.0,0.99901867,0.12890625,0.005777948,-9.441563,-9.44605,-4.850751,4.291735,0.05014562,2.066871e-06,0.002365062427520752,1144.898776292801,25000
3.0174358,-20.225983,2.0225983,0.08840688,6.4231744,0.9948376,-6.3900166,1.0,0.9990444,0.22949219,0.0050851414,-9.610889,-9.616262,-4.113826,43.79293,0.2192749,4.7509725e-06,0.012882656,-0.009495503,0.3713645,3.0279758,-20.282366,2.0282366,0.09377687,6.936263,0.9997391,-6.934455,1.0,0.9990206,0.15039062,0.005843009,-9.46265,-9.467315,-4.692062,11.702052,0.07681869,1.670781e-06,0.0023651082038879394,1156.7243239879608,30000
3.012735,-20.210938,2.0210938,0.08697419,6.5051804,0.991641,-6.4508047,1.0,0.9990406,0.23339844,0.0050157174,-9.762088,-9.767676,-4.044632,100.83864,0.26740882,3.287606e-06,0.010004888,-0.009973918,0.36886093,3.027741,-20.291407,2.0291405,0.09463794,7.080175,0.9986005,-7.0702667,1.0,0.99900055,0.16210938,0.0058705695,-9.603956,-9.608611,-4.8419714,18.788584,0.10563031,1.5137381e-06,0.0023575057983398436,1168.5118589401245,35000
3.0172977,-20.201462,2.0201464,0.08607168,6.652071,0.99715143,-6.6331234,1.0,0.99903584,0.24121094,0.0049897656,-9.885395,-9.891083,-4.0670066,34.94648,0.2258661,6.6102506e-09,0.019917836,-0.009339072,0.37258422,3.0217078,-20.23756,2.0237565,0.08950984,6.882416,0.99795127,-6.8683167,1.0,0.99899673,0.15234375,0.0058426945,-9.708436,-9.713217,-4.8176045,10.14614,0.103494376,1.3161998e-06,0.0023600727558135987,1180.312228679657,40000
3.0104084,-20.170826,2.0170827,0.08315411,6.533159,0.99332577,-6.489556,1.0,0.9990454,0.2548828,0.0048415037,-10.001775,-10.007703,-3.9369404,40.800602,0.23488882,6.071194e-06,0.009512024,-0.008182097,0.36657602,3.0236118,-20.250473,2.0250473,0.090739414,6.9585505,0.9985645,-6.9485626,1.0,0.9989958,0.15820312,0.0057673994,-9.73059,-9.735475,-4.734222,17.517279,0.12963027,1.689395e-07,0.002357966423034668,1192.1020669937134,45000
3.0174553,-20.22591,2.0225909,0.08839996,6.5223017,0.9948645,-6.488807,1.0,0.9990425,0.26953125,0.0049071913,-9.998631,-10.004511,-3.9832113,75.761444,0.28766555,1.5899794e-06,0.010917306,-0.010705253,0.3773445,3.020668,-20.234993,2.0234995,0.089265205,7.131688,0.9971685,-7.1114955,1.0,0.9989538,0.15039062,0.0057272417,-9.817234,-9.822315,-4.6181335,189.29184,0.26646274,4.685211e-07,0.002363051128387451,1203.9173283576965,50000
3.0101557,-20.176306,2.0176306,0.08367594,6.4007244,0.9925251,-6.3528805,1.0,0.9990568,0.2626953,0.004858409,-10.103561,-10.109608,-3.9178112,144.97026,0.36206615,7.612594e-08,0.0123745175,-0.00946012,0.35152194,3.0234349,-20.238724,2.0238724,0.08962028,7.0173326,0.9995625,-7.014263,1.0,0.99899006,0.14160156,0.0058597093,-9.787514,-9.792338,-4.8510056,103.561165,0.1953169,8.227821e-07,0.002363273811340332,1215.733704328537,55000
3.005194,-20.154675,2.0154676,0.08161578,6.488517,0.98972625,-6.4218564,1.0,0.99904156,0.24609375,0.004941806,-10.261412,-10.267524,-4.0088954,45.860798,0.38680795,3.2840867e-06,0.009809033,-0.016393712,0.34786037,3.0214014,-20.230434,2.0230436,0.08883105,6.987419,0.9983578,-6.9759455,1.0,0.99897385,0.15332031,0.0058039073,-9.859728,-9.864701,-4.7712564,62.007652,0.14903006,2.10959e-07,0.0023614989757537843,1227.5412049293518,60000
3.003881,-20.181513,2.0181513,0.084171794,6.3810797,0.9857297,-6.2900205,1.0,0.9990616,0.2861328,0.004737435,-10.237423,-10.243787,-3.7286515,2761.937,1.8901885,1.1503826e-06,0.009668148,-0.011578704,0.34389636,3.0187337,-20.18925,2.018925,0.08490865,7.3617578,0.99980885,-7.3603516,1.0,0.99899864,0.15722656,0.0057582124,-9.879272,-9.88435,-4.68573,81.1148,0.16757241,1.9193817e-06,0.002362409543991089,1239.3532586097717,65000
2.9985251,-20.161018,2.0161018,0.08221992,6.2779512,0.98242325,-6.167606,1.0,0.99905586,0.28222656,0.0046005594,-10.471142,-10.477874,-3.583759,179.59184,0.7111835,4.4626512e-07,0.011433771,-0.010834372,0.38599432,3.014922,-20.211632,2.021163,0.08704021,7.054079,0.993759,-7.0100555,1.0,0.99896145,0.17089844,0.0059018005,-9.922838,-9.927919,-4.7241926,86.59662,0.20943114,6.1870125e-08,0.002360516166687012,1251.1558458805084,70000
3.0095649,-20.158329,2.015833,0.08196392,6.4090242,0.99373204,-6.3688536,1.0,0.9990454,0.2890625,0.004742305,-10.253611,-10.259946,-3.771947,44.030426,0.34204257,1.3074424e-06,0.009084478,-0.01015703,0.358632,3.0199714,-20.232304,2.0232303,0.08900892,7.0368013,0.996741,-7.0138693,1.0,0.99899864,0.17773438,0.0058413865,-10.008282,-10.0133915,-4.779587,192.63791,0.25506234,1.755092e-07,0.0023604411125183107,1262.958057641983,75000
3.0067015,-20.16411,2.016411,0.08251442,6.3882885,0.9902905,-6.3262625,1.0,0.9990616,0.3154297,0.0046550203,-10.394611,-10.40125,-3.6026227,203.23898,0.6770951,1.0696506e-06,0.014279218,-0.009083234,0.37082598,3.0181613,-20.188526,2.0188525,0.08483977,7.179927,0.9993087,-7.174964,1.0,0.99900055,0.16601562,0.0058383867,-9.995022,-10.0000725,-4.829217,20.436335,0.12544316,3.614858e-07,0.0023602416038513182,1274.7592720985413,80000
3.0106409,-20.173838,2.0173836,0.08344077,6.4887233,0.9932573,-6.4449725,1.0,0.9990635,0.30664062,0.0045968657,-10.545039,-10.551803,-3.6251187,96.58958,0.49243173,3.2624196e-06,0.009434159,-0.010221239,0.37265918,3.0192387,-20.208385,2.0208387,0.08673114,7.430763,0.9984,-7.4188747,1.0,0.9989939,0.15820312,0.0057937326,-10.113176,-10.118432,-4.735631,78.213165,0.22155032,1.1122893e-06,0.0023658786296844483,1286.5886716842651,85000
3.007614,-20.169909,2.016991,0.08306665,6.392232,0.99062306,-6.3322935,1.0,0.99906254,0.2919922,0.00469094,-10.442776,-10.449385,-3.6819,167.9889,0.5214351,1.1231265e-06,0.010630747,-0.013621872,0.38534066,3.0194821,-20.205746,2.0205746,0.08647964,7.1619835,0.9989075,-7.1541605,1.0,0.99901676,0.16894531,0.0057648816,-10.042235,-10.047386,-4.7734776,32.277534,0.16133608,1.4765712e-06,0.0023642948627471926,1298.4101526737213,90000
3.0090346,-20.152456,2.0152457,0.08140446,6.528345,0.99378896,-6.487798,1.0,0.9990711,0.30273438,0.004531611,-10.58498,-10.591883,-3.5235958,44.938137,0.42662883,2.2052648e-06,0.009655632,-0.009288147,0.37323433,3.0192037,-20.200333,2.0200334,0.08596427,7.3823586,0.9991702,-7.376233,1.0,0.99900246,0.16992188,0.005955632,-10.06106,-10.066126,-4.8789673,21.491243,0.1626794,1.666985e-08,0.0023647935390472413,1310.2341270446777,95000
